,cxxfilt,objdump,nm-new,readelf,djpeg,mjs,mutool,readpng,tcpdump,xmllint
aflpp,25.39345388,92.24857722,56.58911114,56.846196,86.34574396,43.59641614,2.059126028,8.552192701,145.3129296,337.0271354
fun,19.68216197,55.40205321,35.41253309,159.0413468,51.84293587,37.29996649,1.465435089,4.042276586,131.8199056,394.7322985
fun-static,30.39650473,89.55237294,39.95860358,91.23184751,100.8119413,28.98495299,3.207802986,10.64178087,152.6916828,387.4719861
fairfuzz,43.54641202,213.2223253,40.51357797,82.80427223,82.97312818,16.390241,6.104096985,9.164469434,210.6397161,401.2121477
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,cxxfilt,objdump,nm-new,readelf,djpeg,mjs,mutool,readpng,tcpdump,xmllint
aflpp,25.39345388,92.24857722,56.58911114,56.846196,86.34574396,43.59641614,2.059126028,8.552192701,145.3129296,337.0271354
fairfuzz,43.54641202,213.2223253,40.51357797,82.80427223,82.97312818,16.390241,6.104096985,9.164469434,210.6397161,401.2121477
fun,19.68216197,55.40205321,35.41253309,159.0413468,51.84293587,37.29996649,1.465435089,4.042276586,131.8199056,394.7322985
fun-static,30.39650473,89.55237294,39.95860358,91.23184751,100.8119413,28.98495299,3.207802986,10.64178087,152.6916828,387.4719861